,Заказ наряд,Дата,Цена,ТС,Гос номер
1142,"Заказ-наряд №: 6400 от 24.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-24,1000,Toyota Hilux Pick Up,777
1143,"Заказ-наряд №: 6402 от 24.08.2022, ТС: LADA VESTA гос. номер: М704ЕН797",2022-08-24,500,LADA VESTA,М704ЕН797
1144,"Заказ-наряд №: 6416 от 25.08.2022, ТС: LADA VESTA гос. номер: Т798РМ72",2022-08-25,3200,LADA VESTA,Т798РМ72
1145,"Заказ-наряд №: 6420 от 25.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-25,5400,Toyota Hilux Pick Up,777
1146,"Заказ-наряд №: 6427 от 31.08.2022, ТС: LADA VESTA гос. номер: У795СТ55",2022-08-31,4500,LADA VESTA,У795СТ55
1147,"Заказ-наряд №: 6431 от 26.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-26,1000,Toyota Hilux Pick Up,777
1148,"Заказ-наряд №: 6434 от 26.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-26,1000,Toyota Hilux Pick Up,777
1149,"Заказ-наряд №: 6440 от 26.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-26,2200,Toyota Hilux Pick Up,777
1150,"Заказ-наряд №: 6450 от 27.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-27,600,Toyota Hilux Pick Up,777
1151,"Заказ-наряд №: 6458 от 28.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-28,500,Toyota Hilux Pick Up,777
1152,"Заказ-наряд №: 6459 от 28.08.2022, ТС: Toyota Camry гос. номер: Т109МО72",2022-08-28,1000,Toyota Camry,Т109МО72
1153,"Заказ-наряд №: 6493 от 30.08.2022, ТС: Nissan Teana гос. номер: Р870РУ 56",2022-08-30,2000,Nissan Teana,Р870РУ 56
1154,"Заказ-наряд №: 6494 от 31.08.2022, ТС: LADA VESTA гос. номер: Т710РМ72",2022-08-31,1500,LADA VESTA,Т710РМ72
1155,"Заказ-наряд №: 6502 от 31.08.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-08-31,1000,Toyota Hilux Pick Up,777
1156,"Заказ-наряд №: 6529 от 02.09.2022, ТС: LADA VESTA гос. номер: Т749РМ72",2022-09-02,1500,LADA VESTA,Т749РМ72
1157,"Заказ-наряд №: 6533 от 02.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-02,1000,LADA 111730 КАЛИНА,У813СЕ72
1158,"Заказ-наряд №: 6539 от 02.09.2022, ТС: LADA GFL 110 VESTA гос. номер:Е157ЕН797",2022-09-02,500,LADA GFL 110 VESTA,157ЕН797
1159,"Заказ-наряд №: 6540 от 02.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-02,1000,LADA 111730 КАЛИНА,У813СЕ72
1160,"Заказ-наряд №: 6547 от 03.09.2022, ТС: ВАЗ 2115 гос. номер: В344УА72",2022-09-03,2500,ВАЗ 2115,В344УА72
1161,"Заказ-наряд №: 6562 от 14.09.2022, ТС: Ford Mondeo гос. номер: Р799НК72",2022-09-14,1000,Ford Mondeo,Р799НК72
1162,"Заказ-наряд №: 6603 от 06.09.2022, ТС: LADA VESTA гос. номер: Т281РН72",2022-09-06,900,LADA VESTA,Т281РН72
1163,"Заказ-наряд №: 6605 от 06.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-06,1500,LADA 111730 КАЛИНА,У813СЕ72
1164,"Заказ-наряд №: 6613 от 09.09.2022, ТС: Infiniti FX37 гос. номер: У756КН72",2022-09-09,1000,Infiniti FX37,У756КН72
1165,"Заказ-наряд №: 6614 от 07.09.2022, ТС: LADA VESTA GFK 110 гос. номер:Н045ЕК797",2022-09-07,1500,LADA VESTA GFK 110,045ЕК797
1166,"Заказ-наряд №: 6622 от 07.09.2022, ТС: Renault Logan гос. номер: АК00445",2022-09-07,2000,Renault Logan,АК00445
1167,"Заказ-наряд №: 6623 от 07.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-07,1200,LADA 111730 КАЛИНА,У813СЕ72
1168,"Заказ-наряд №: 6636 от 09.09.2022, ТС: Suzuki SX4 гос. номер: У648ХА72",2022-09-09,1000,Suzuki SX4,У648ХА72
1169,"Заказ-наряд №: 6638 от 07.09.2022, ТС: Nissan Qashqai гос. номер: В818АА196",2022-09-07,2000,Nissan Qashqai,В818АА196
1170,"Заказ-наряд №: 6647 от 12.09.2022, ТС: Volkswagen Polo гос. номер: О504АХ198",2022-09-12,2000,Volkswagen Polo,О504АХ198
1171,"Заказ-наряд №: 6649 от 10.09.2022, ТС: Volkswagen Polo гос. номер: Т230НА178",2022-09-10,4500,Volkswagen Polo,Т230НА178
1172,"Заказ-наряд №: 6650 от 22.01.2023, ТС: LADA VESTA гос. номер: У179ЕР72",2023-01-22,2000,LADA VESTA,У179ЕР72
1173,"Заказ-наряд №: 6653 от 08.09.2022, ТС: LADA VESTA GFK 110 гос. номер: Т797РМ72",2022-09-08,3000,LADA VESTA GFK 110,Т797РМ72
1174,"Заказ-наряд №: 6659 от 09.09.2022, ТС: Mazda СХ-8 гос. номер: Х512КК72",2022-09-09,10000,Mazda СХ-8,Х512КК72
1175,"Заказ-наряд №: 6661 от 09.09.2022, ТС: Kia Magentis гос. номер: Е268МТ72",2022-09-09,1100,Kia Magentis,Е268МТ72
1176,"Заказ-наряд №: 6663 от 09.09.2022, ТС: Skoda Felicia гос. номер: А370КМ72",2022-09-09,700,Skoda Felicia,А370КМ72
1177,"Заказ-наряд №: 6667 от 10.09.2022, ТС: Datsun On-Do гос. номер: О343МС198",2022-09-10,1000,Datsun On-Do,О343МС198
1178,"Заказ-наряд №: 6687 от 27.09.2022, ТС: Volkswagen Polo гос. номер: О519НТ198",2022-09-27,2500,Volkswagen Polo,О519НТ198
1179,"Заказ-наряд №: 6693 от 20.09.2022, ТС: LADA VESTA гос. номер: М884ЕУ797",2022-09-20,1000,LADA VESTA,М884ЕУ797
1180,"Заказ-наряд №: 6707 от 13.09.2022, ТС: LADA VESTA гос. номер: Т791РМ72",2022-09-13,1300,LADA VESTA,Т791РМ72
1181,"Заказ-наряд №: 6708 от 13.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-13,500,LADA 111730 КАЛИНА,У813СЕ72
1182,"Заказ-наряд №: 6710 от 13.09.2022, ТС: LADA VESTA гос. номер: Т749РМ72",2022-09-13,1000,LADA VESTA,Т749РМ72
1183,"Заказ-наряд №: 6721 от 14.09.2022, ТС: Datsun On-Do гос. номер: М067АР82",2022-09-14,2300,Datsun On-Do,М067АР82
1184,"Заказ-наряд №: 6724 от 16.09.2022, ТС: Datsun On-Do гос. номер: Н713НР159",2022-09-16,4100,Datsun On-Do,Н713НР159
1185,"Заказ-наряд №: 6756 от 16.09.2022, ТС: LADA VESTA гос. номер: Т791РМ72",2022-09-16,2000,LADA VESTA,Т791РМ72
1186,"Заказ-наряд №: 6763 от 16.09.2022, ТС: LADA VESTA гос. номер: Т705РМ72",2022-09-16,4600,LADA VESTA,Т705РМ72
1187,"Заказ-наряд №: 6770 от 17.09.2022, ТС: Lifan 113300 гос. номер: К818РМ186",2022-09-17,100,Lifan 113300,К818РМ186
1188,"Заказ-наряд №: 6775 от 17.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-17,2000,LADA 111730 КАЛИНА,У813СЕ72
1189,"Заказ-наряд №: 6776 от 20.09.2022, ТС: LADA VESTA гос. номер: Т781РМ72",2022-09-20,3000,LADA VESTA,Т781РМ72
1190,"Заказ-наряд №: 6777 от 17.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-17,1500,LADA 111730 КАЛИНА,У813СЕ72
1191,"Заказ-наряд №: 6786 от 19.09.2022, ТС: LADA VESTA гос. номер: У841СУ55",2022-09-19,550,LADA VESTA,У841СУ55
1192,"Заказ-наряд №: 6789 от 18.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-18,1000,LADA 111730 КАЛИНА,У813СЕ72
1193,"Заказ-наряд №: 6791 от 28.12.2022, ТС: Nissan Almera гос. номер: У255ХВ72",2022-12-28,1000,Nissan Almera,У255ХВ72
1194,"Заказ-наряд №: 6794 от 18.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-18,200,LADA 111730 КАЛИНА,У813СЕ72
1195,"Заказ-наряд №: 6819 от 20.09.2022, ТС: LADA VESTA GFK 110 гос. номер:У668ЕР797",2022-09-20,500,LADA VESTA GFK 110,668ЕР797
1196,"Заказ-наряд №: 6820 от 20.09.2022, ТС: Cadillac ESCALADE гос. номер: В139ТС89",2022-09-20,2500,Cadillac ESCALADE,В139ТС89
1197,"Заказ-наряд №: 6821 от 20.09.2022, ТС: Ravon R4 гос. номер: У525КН72",2022-09-20,2000,Ravon R4,У525КН72
1198,"Заказ-наряд №: 6823 от 20.09.2022, ТС: Honda Civic гос. номер: К674СМ186",2022-09-20,3000,Honda Civic,К674СМ186
1199,"Заказ-наряд №: 6825 от 20.09.2022, ТС: Volvo XC70 гос. номер: С649МЕ72",2022-09-20,1900,Volvo XC70,С649МЕ72
1200,"Заказ-наряд №: 6827 от 22.09.2022, ТС: Ravon NEXIA R3 гос. номер: М209МЕ45",2022-09-22,2000,Ravon NEXIA R3,М209МЕ45
1201,"Заказ-наряд №: 6828 от 20.09.2022, ТС: Volvo XC70 гос. номер: С649МЕ72",2022-09-20,1000,Volvo XC70,С649МЕ72
1202,"Заказ-наряд №: 6830 от 21.09.2022, ТС: LADA VESTA GFK 110 гос. номер:М217ЕР797",2022-09-21,2600,LADA VESTA GFK 110,217ЕР797
1203,"Заказ-наряд №: 6832 от 21.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-21,1000,LADA 111730 КАЛИНА,У813СЕ72
1204,"Заказ-наряд №: 6834 от 21.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-21,1000,LADA 111730 КАЛИНА,У813СЕ72
1205,"Заказ-наряд №: 6836 от 21.09.2022, ТС: LADA VESTA гос. номер: М884ЕУ797",2022-09-21,1500,LADA VESTA,М884ЕУ797
1206,"Заказ-наряд №: 6839 от 21.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-21,3000,LADA 111730 КАЛИНА,У813СЕ72
1207,"Заказ-наряд №: 6843 от 21.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-21,2500,LADA 111730 КАЛИНА,У813СЕ72
1208,"Заказ-наряд №: 6850 от 24.09.2022, ТС: Nissan Teana гос. номер: К212СХ72",2022-09-24,7000,Nissan Teana,К212СХ72
1209,"Заказ-наряд №: 6851 от 26.09.2022, ТС: LADA VESTA гос. номер: У604СМ 55",2022-09-26,500,LADA VESTA,У604СМ 55
1210,"Заказ-наряд №: 6857 от 23.09.2022, ТС: LADA VESTA GFK 110 гос. номер:У662ЕР797",2022-09-23,500,LADA VESTA GFK 110,662ЕР797
1211,"Заказ-наряд №: 6870 от 23.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-23,4000,LADA 111730 КАЛИНА,У813СЕ72
1212,"Заказ-наряд №: 6873 от 24.09.2022, ТС: Volkswagen Touareg гос. номер: К020МК 72",2022-09-24,3500,Volkswagen Touareg,К020МК 72
1213,"Заказ-наряд №: 6876 от 24.09.2022, ТС: LADA VESTA GFK 110 гос. номер:Н233ЕН797",2022-09-24,500,LADA VESTA GFK 110,233ЕН797
1214,"Заказ-наряд №: 6879 от 29.09.2022, ТС: УАЗ 31314 гос. номер: В304УО89",2022-09-29,1000,УАЗ 31314,В304УО89
1215,"Заказ-наряд №: 6886 от 25.09.2022, ТС: Hyundai Elantra гос. номер: N287ND72",2022-09-25,4200,Hyundai Elantra,N287ND72
1216,"Заказ-наряд №: 6887 от 25.09.2022, ТС: LADA VESTA гос. номер: У479СМ 55",2022-09-25,500,LADA VESTA,У479СМ 55
1217,"Заказ-наряд №: 6891 от 25.09.2022, ТС: LADA VESTA GFK 110 гос. номер:М920ЕУ797",2022-09-25,500,LADA VESTA GFK 110,920ЕУ797
1218,"Заказ-наряд №: 6890 от 25.09.2022, ТС: Volvo XC70 гос. номер: С649МЕ72",2022-09-25,1000,Volvo XC70,С649МЕ72
1219,"Заказ-наряд №: 6908 от 27.09.2022, ТС: Renault Duster гос. номер: Т424ЕУ72",2022-09-27,6000,Renault Duster,Т424ЕУ72
1220,"Заказ-наряд №: 6909 от 27.09.2022, ТС: Chevrolet Astro гос. номер: Р041УВ86",2022-09-27,500,Chevrolet Astro,Р041УВ86
1221,"Заказ-наряд №: 6914 от 27.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-27,500,LADA 111730 КАЛИНА,У813СЕ72
1222,"Заказ-наряд №: 6918 от 28.09.2022, ТС: LADA  GRАNТА 219010 гос. номер:Т674МС72",2022-09-28,1000,LADA  GRАNТА 219010,674МС72
1223,"Заказ-наряд №: 6921 от 27.09.2022, ТС: LADA 219010 GRANTA гос. номер: У567ХВ72",2022-09-27,1240,LADA 219010 GRANTA,У567ХВ72
1224,"Заказ-наряд №: 6922 от 28.09.2022, ТС: LADA VESTA GFK 110 гос. номер:М920ЕУ797",2022-09-28,1300,LADA VESTA GFK 110,920ЕУ797
1225,"Заказ-наряд №: 6929 от 28.09.2022, ТС: LADA VESTA гос. номер: Т705РМ72",2022-09-28,500,LADA VESTA,Т705РМ72
1226,"Заказ-наряд №: 6932 от 28.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-28,2500,LADA 111730 КАЛИНА,У813СЕ72
1227,"Заказ-наряд №: 6933 от 28.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-28,2000,LADA 111730 КАЛИНА,У813СЕ72
1228,"Заказ-наряд №: 6935 от 28.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-28,500,LADA 111730 КАЛИНА,У813СЕ72
1229,"Заказ-наряд №: 6937 от 28.09.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-09-28,2500,LADA 111730 КАЛИНА,У813СЕ72
1230,"Заказ-наряд №: 6957 от 30.09.2022, ТС: LADA VESTA гос. номер: У841СУ55",2022-09-30,500,LADA VESTA,У841СУ55
1231,"Заказ-наряд №: 6965 от 02.10.2022, ТС: Nissan Note гос. номер: Н959СР86",2022-10-02,3500,Nissan Note,Н959СР86
1232,"Заказ-наряд №: 6976 от 02.10.2022, ТС: LADA 111930 Кalina гос. номер: Н930КА 72",2022-10-02,2000,LADA 111930 Кalina,Н930КА 72
1233,"Заказ-наряд №: 6979 от 23.10.2022, ТС: Mazda CX-7 гос. номер: У562ЕЕ72",2022-10-23,1000,Mazda CX-7,У562ЕЕ72
1234,"Заказ-наряд №: 6980 от 02.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-02,1000,LADA 111730 КАЛИНА,У813СЕ72
1235,"Заказ-наряд №: 6986 от 05.10.2022, ТС: Ford Focus гос. номер: Т050СР72",2022-10-05,3400,Ford Focus,Т050СР72
1236,"Заказ-наряд №: 6989 от 03.10.2022, ТС: BMW 750LI гос. номер: C 652 TV 62",2022-10-03,5500,BMW 750LI,C 652 TV 62
1237,"Заказ-наряд №: 6997 от 11.10.2022, ТС: Hyundai Santa Fe гос. номер: У808АУ186",2022-10-11,1000,Hyundai Santa Fe,У808АУ186
1238,"Заказ-наряд №: 6999 от 13.10.2022, ТС: LADA VESTA гос. номер: Т281РН72",2022-10-13,500,LADA VESTA,Т281РН72
1239,"Заказ-наряд №: 7001 от 04.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-04,1000,LADA 111730 КАЛИНА,У813СЕ72
1240,"Заказ-наряд №: 7005 от 13.10.2022, ТС: LADA GFL 110 VESTA гос. номер:Н170ЕН797",2022-10-13,500,LADA GFL 110 VESTA,170ЕН797
1241,"Заказ-наряд №: 7012 от 07.10.2022, ТС: LADA  GRАNТА гос. номер: Р934КХ 72",2022-10-07,500,LADA  GRАNТА,Р934КХ 72
1242,"Заказ-наряд №: 7016 от 06.10.2022, ТС: LADA  GRАNТА 219010 гос. номер: Х808ЕХ72",2022-10-06,2500,LADA  GRАNТА 219010,Х808ЕХ72
1243,"Заказ-наряд №: 7017 от 05.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-05,1000,LADA 111730 КАЛИНА,У813СЕ72
1244,"Заказ-наряд №: 7022 от 05.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-05,1000,LADA 111730 КАЛИНА,У813СЕ72
1245,"Заказ-наряд №: 7026 от 05.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-05,2500,LADA 111730 КАЛИНА,У813СЕ72
1246,"Заказ-наряд №: 7028 от 18.10.2022, ТС: ГАЗ 3897-0000010-15 гос. номер: Т368НН72",2022-10-18,10500,ГАЗ 3897-0000010-15,Т368НН72
1247,"Заказ-наряд №: 7036 от 13.10.2022, ТС: LADA VESTA гос. номер: Т969РЕ72",2022-10-13,500,LADA VESTA,Т969РЕ72
1248,"Заказ-наряд №: 7045 от 07.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-07,2000,LADA 111730 КАЛИНА,У813СЕ72
1249,"Заказ-наряд №: 7056 от 10.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-10,3000,LADA 111730 КАЛИНА,У813СЕ72
1250,"Заказ-наряд №: 7058 от 10.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-10,500,LADA 111730 КАЛИНА,У813СЕ72
1251,"Заказ-наряд №: 7061 от 10.10.2022, ТС: LADA 111930 Кalina гос. номер: Н930КА 72",2022-10-10,300,LADA 111930 Кalina,Н930КА 72
1252,"Заказ-наряд №: 7063 от 13.10.2022, ТС: LADA VESTA гос. номер: Т973РЕ72",2022-10-13,1900,LADA VESTA,Т973РЕ72
1253,"Заказ-наряд №: 7066 от 10.10.2022, ТС: Nissan Murano гос. номер: У984МУ72",2022-10-10,2500,Nissan Murano,У984МУ72
1254,"Заказ-наряд №: 7068 от 10.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-10,1000,LADA 111730 КАЛИНА,У813СЕ72
1255,"Заказ-наряд №: 7071 от 10.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-10,2000,LADA 111730 КАЛИНА,У813СЕ72
1256,"Заказ-наряд №: 7083 от 12.10.2022, ТС: LADA VESTA гос. номер: Т973РЕ72",2022-10-12,9000,LADA VESTA,Т973РЕ72
1257,"Заказ-наряд №: 7085 от 12.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-12,1000,LADA 111730 КАЛИНА,У813СЕ72
1258,"Заказ-наряд №: 7087 от 14.10.2022, ТС: LADA VESTA гос. номер: Т114РР72",2022-10-14,500,LADA VESTA,Т114РР72
1259,"Заказ-наряд №: 7092 от 11.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-11,500,LADA 111730 КАЛИНА,У813СЕ72
1260,"Заказ-наряд №: 7095 от 11.10.2022, ТС: Kia Ceed гос. номер: У765УУ72",2022-10-11,1250,Kia Ceed,У765УУ72
1261,"Заказ-наряд №: 7096 от 11.10.2022, ТС: Toyota LАND СRUISЕR 200 гос. номер:С600МР72",2022-10-11,3600,Toyota LАND СRUISЕR 200,600МР72
1262,"Заказ-наряд №: 7097 от 12.10.2022, ТС: Peugeot 308 гос. номер: С192НН89",2022-10-12,8000,Peugeot 308,С192НН89
1263,"Заказ-наряд №: 7099 от 14.10.2022, ТС: ВАЗ 2121 4x4 Нива гос. номер: Н477РН 72",2022-10-14,1000,ВАЗ 2121 4x4 Нива,Н477РН 72
1264,"Заказ-наряд №: 7105 от 12.10.2022, ТС: LADA VESTA гос. номер: Т705РМ72",2022-10-12,500,LADA VESTA,Т705РМ72
1265,"Заказ-наряд №: 7106 от 12.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-12,1000,LADA 111730 КАЛИНА,У813СЕ72
1266,"Заказ-наряд №: 7110 от 13.10.2022, ТС: LADA GFL 110 VESTA гос. номер: Х293ЕТ797",2022-10-13,2000,LADA GFL 110 VESTA,Х293ЕТ797
1267,"Заказ-наряд №: 7114 от 12.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-12,500,LADA 111730 КАЛИНА,У813СЕ72
1268,"Заказ-наряд №: 7126 от 14.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-14,1000,LADA 111730 КАЛИНА,У813СЕ72
1269,"Заказ-наряд №: 7128 от 14.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-14,1000,LADA 111730 КАЛИНА,У813СЕ72
1270,"Заказ-наряд №: 7131 от 15.10.2022, ТС: Nissan Note гос. номер: Н959СР86",2022-10-15,2000,Nissan Note,Н959СР86
1271,"Заказ-наряд №: 7134 от 15.10.2022, ТС: Datsun On-Do гос. номер: А502МА45",2022-10-15,500,Datsun On-Do,А502МА45
1272,"Заказ-наряд №: 7136 от 15.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-15,2250,LADA 111730 КАЛИНА,У813СЕ72
1273,"Заказ-наряд №: 7139 от 15.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-15,1000,LADA 111730 КАЛИНА,У813СЕ72
1274,"Заказ-наряд №: 7144 от 15.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-15,1000,LADA 111730 КАЛИНА,У813СЕ72
1275,"Заказ-наряд №: 7146 от 15.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-15,2000,LADA 111730 КАЛИНА,У813СЕ72
1276,"Заказ-наряд №: 7149 от 15.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-15,1000,LADA 111730 КАЛИНА,У813СЕ72
1277,"Заказ-наряд №: 7158 от 16.10.2022, ТС: Kia Rio гос. номер: О644ЕМ72",2022-10-16,1000,Kia Rio,О644ЕМ72
1278,"Заказ-наряд №: 7164 от 16.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-16,1000,LADA 111730 КАЛИНА,У813СЕ72
1279,"Заказ-наряд №: 7211 от 26.10.2022, ТС: LADA VESTA гос. номер: О355ЕК797",2022-10-26,500,LADA VESTA,О355ЕК797
1280,"Заказ-наряд №: 7214 от 18.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-18,1500,LADA 111730 КАЛИНА,У813СЕ72
1281,"Заказ-наряд №: 7217 от 18.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-18,600,LADA 111730 КАЛИНА,У813СЕ72
1282,"Заказ-наряд №: 7234 от 19.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-19,1000,LADA 111730 КАЛИНА,У813СЕ72
1283,"Заказ-наряд №: 7249 от 19.10.2022, ТС: ГАЗ 2217 гос. номер: С222СЕ72",2022-10-19,3500,ГАЗ 2217,С222СЕ72
1284,"Заказ-наряд №: 7278 от 25.10.2022, ТС: LADA VESTA гос. номер: Т954РЕ72",2022-10-25,1850,LADA VESTA,Т954РЕ72
1285,"Заказ-наряд №: 7281 от 26.10.2022, ТС: LADA VESTA гос. номер: У795СТ55",2022-10-26,900,LADA VESTA,У795СТ55
1286,"Заказ-наряд №: 7293 от 26.10.2022, ТС: УАЗ 3303 гос. номер: А947МТ 72",2022-10-26,15000,УАЗ 3303,А947МТ 72
1287,"Заказ-наряд №: 7299 от 22.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-22,1000,LADA 111730 КАЛИНА,У813СЕ72
1288,"Заказ-наряд №: 7305 от 22.10.2022, ТС: Chevrolet Blaser гос. номер: Р216ОР 198",2022-10-22,1000,Chevrolet Blaser,Р216ОР 198
1289,"Заказ-наряд №: 7306 от 23.10.2022, ТС: Volkswagen Amarok гос. номер: С713ХА72",2022-10-23,0,Volkswagen Amarok,С713ХА72
1290,"Заказ-наряд №: 7309 от 23.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-23,500,LADA 111730 КАЛИНА,У813СЕ72
1291,"Заказ-наряд №: 7310 от 23.10.2022, ТС: Hyundai Solaris гос. номер: Р056ХН",2022-10-23,2000,Hyundai Solaris,Р056ХН
1292,"Заказ-наряд №: 7311 от 23.10.2022, ТС: Ford Focus гос. номер: М944ВУ74",2022-10-23,4000,Ford Focus,М944ВУ74
1293,"Заказ-наряд №: 7312 от 23.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-23,500,LADA 111730 КАЛИНА,У813СЕ72
1294,"Заказ-наряд №: 7315 от 23.10.2022, ТС: Skoda Superb гос. номер: О105СО102",2022-10-23,1000,Skoda Superb,О105СО102
1295,"Заказ-наряд №: 7323 от 23.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-23,500,LADA 111730 КАЛИНА,У813СЕ72
1296,"Заказ-наряд №: 7364 от 28.10.2022, ТС: LADA VESTA гос. номер: У841СУ55",2022-10-28,1000,LADA VESTA,У841СУ55
1297,"Заказ-наряд №: 7373 от 25.10.2022, ТС: Kia Ceed гос. номер: Т496РМ 72",2022-10-25,1500,Kia Ceed,Т496РМ 72
1298,"Заказ-наряд №: 7396 от 27.10.2022, ТС: LADA VESTA GFK 110 гос. номер:М719ЕН797",2022-10-27,500,LADA VESTA GFK 110,719ЕН797
1299,"Заказ-наряд №: 7402 от 03.11.2022, ТС: LADA VESTA гос. номер: У604СМ 55",2022-11-03,1500,LADA VESTA,У604СМ 55
1300,"Заказ-наряд №: 7409 от 26.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-26,600,LADA 111730 КАЛИНА,У813СЕ72
1301,"Заказ-наряд №: 7411 от 26.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-26,1500,LADA 111730 КАЛИНА,У813СЕ72
1302,"Заказ-наряд №: 7414 от 27.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-27,4500,LADA 111730 КАЛИНА,У813СЕ72
1303,"Заказ-наряд №: 7423 от 28.10.2022, ТС: Lifan ЛИФАН 214813 гос. номер: Н514КК45",2022-10-28,1900,Lifan ЛИФАН 214813,Н514КК45
1304,"Заказ-наряд №: 7440 от 29.10.2022, ТС: LADA GFL 110 VESTA гос. номер:М574ЕР797",2022-10-29,2000,LADA GFL 110 VESTA,574ЕР797
1305,"Заказ-наряд №: 7445 от 28.10.2022, ТС: HAWTAI BOLIGER гос. номер: К188ОЕ186",2022-10-28,300,HAWTAI BOLIGER,К188ОЕ186
1306,"Заказ-наряд №: 7446 от 28.10.2022, ТС: LADA 111730 КАЛИНА гос. номер: У813СЕ72",2022-10-28,500,LADA 111730 КАЛИНА,У813СЕ72
1307,"Заказ-наряд №: 7447 от 28.10.2022, ТС: LADA VESTA GFK 110 гос. номер:Н833ЕР797",2022-10-28,1000,LADA VESTA GFK 110,833ЕР797
