Наименование работ,Цена,Дата
Компьютерная диагностика,1000,2022-08-21
Ремонт электропроводки,3000,2022-08-21
Компьютерная диагностика,500,2022-08-21
Замена свечи зажигания ДВС,400,2022-08-23
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-08-27
Демонтаж/монтаж замена вентилятора,1500,2022-08-27
"Демонтаж/монтаж педали газа, замена",1000,2022-08-27
ОСМОТР,500,2022-08-27
Промывка радиатора системы охладения,1500,2022-08-27
Электротехнические работы,2000,2022-08-23
Демонтаж/монтаж дроссельной заслонки,400,2022-08-23
Диагностика электрооборудования,500,2022-08-23
Отключение блокировки для диагностики,1000,2022-08-23
Промывка дроссельной заслонки ( без учета материала),350,2022-08-23
Демонтаж/монтаж дроссельной заслонки,400,2022-08-24
Диагностика электрооборудования,500,2022-08-24
Промывка дроссельной заслонки ( без учета материала),350,2022-08-24
Разблокировка блока ЭБКЭ,1000,2022-08-24
Диагностика электрооборудования,500,2022-08-24
Диагностика электрооборудования,1000,2022-08-24
Диагностика электрооборудования,500,2022-08-24
Диагностика электрооборудования,500,2022-08-25
Замена вентилятора печки салона,2400,2022-08-25
Замена предохранителя,300,2022-08-25
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2400,2022-08-25
Компьютерная диагностика электронных систем после заправки фреоном,1000,2022-08-25
Электротехнические работы,2000,2022-08-25
Диагностика электрооборудования,500,2022-08-31
Замена замка багажника,1000,2022-08-31
Замена модуля кнопок стеклоподъемника,1000,2022-08-31
Установка подрулевого переключателя,2000,2022-08-31
Диагностика электрооборудования,1000,2022-08-26
Диагностика электрооборудования,1000,2022-08-26
Электротехнические работы,2200,2022-08-26
Электротехнические работы,600,2022-08-27
Электротехнические работы,500,2022-08-28
Компьютерная диагностика электронных систем,1000,2022-08-28
Диагностика электрооборудования,1000,2022-08-30
Электротехнические работы,1000,2022-08-30
Диагностика электрооборудования,500,2022-08-31
Замена лампочек ХДЧ,300,2022-08-31
Замена лампочек ближнего/ дальнего света,150,2022-08-31
Замена лампочек габаритного огня переднего,200,2022-08-31
Замена лампочек подсветки номера,300,2022-08-31
Замена лампочки стоп сигнала заднего фонаря,50,2022-08-31
Компьютерная диагностика электронных систем,1000,2022-08-31
Диагностика электрооборудования,500,2022-09-02
Замена подрулевого переключателя,1000,2022-09-02
Диагностика неисправности ДВС,1000,2022-09-02
Диагностика электрооборудования,500,2022-09-02
Компьютерная диагностика,1000,2022-09-02
Электротехнические работы,2500,2022-09-03
Диагностика АБС и ремонт прорводки,1000,2022-09-14
Диагностика электрооборудования,500,2022-09-06
Замена колпачка катушки зажигания,400,2022-09-06
Компьютерная диагностика электронных систем,1000,2022-09-06
Промывка дроссельной заслонки ( без учета материала),500,2022-09-06
Компьютерная диагностика,1000,2022-09-09
Диагностика электрооборудования,500,2022-09-07
Разборка/сборка и ремонт генератора,1000,2022-09-07
Компютерная диагностика,1000,2022-09-07
"Проверка  блока предохранителей подкапотного , чистка и ремонт клеммы АКБ",1000,2022-09-07
Замена катушки зажигания 1 шт.,200,2022-09-07
Компютерная диагностика,1000,2022-09-07
Компьютерная диагностика,1000,2022-09-09
Дифектовка стартера,500,2022-09-07
Разборка стартера и ремонт,1500,2022-09-07
Заправка кондиционера,2000,2022-09-12
Демонтаж/монтаж замка задней левой двери,1000,2022-09-10
Демонтаж/монтаж стеклоподъемника передней левой двери,1500,2022-09-10
Заправка кондиционера,2000,2022-09-10
Промывка дроссельной заслонки ( без учета материала),500,2023-01-22
Промывка инжекторов,1500,2023-01-22
Демонтаж/монтаж - фары передней правой со снятием бампера,1200,2022-09-08
Замена лампы в фаре,100,2022-09-08
Замена ламы ХДЧ,50,2022-09-08
Ремонт электропроводки передней правой фары,1650,2022-09-08
Установка сигнализации,10000,2022-09-09
Заправка кондиционера,1100,2022-09-09
Электротехнические работы,700,2022-09-09
Блок управления электроусилителя руля,1000,2022-09-10
Демонтаж/монтаж замка задней левой двери,1000,2022-09-27
Демонтаж/монтаж стеклоподъемника передней левой двери,1500,2022-09-27
Диагностика электрооборудования,500,2022-09-20
Замена форсунки,500,2022-09-20
Демонтаж/монтаж дроссельной заслонки,500,2022-09-13
Диагностика  электрооборудования ДВС,800,2022-09-13
Электротехнические работы,500,2022-09-13
Диагностика электрооборудования,500,2022-09-13
Диффектовка/разборка генератора,500,2022-09-13
Диагностика электрооборудования,500,2022-09-14
Замена контактной груммы замка  зажигания-,1000,2022-09-14
Замок зажигания-Снятие/установка,800,2022-09-14
Бензонасос-снятие/установка,800,2022-09-16
Диагностика электрооборудования,500,2022-09-16
Замена контактной груммы замка  зажигания,1000,2022-09-16
Замер компрессии ДВС,1000,2022-09-16
Замок зажигания-Снятие/установка,800,2022-09-16
Диагностика электрооборудования,500,2022-09-16
Пропайка соединений внештатной блокировки,1500,2022-09-16
Замена ламп подсветки номера,200,2022-09-16
Замена лампы габаритного огня,200,2022-09-16
Замена лампы головного освещения,200,2022-09-16
Ремонт электропроводки двери правая сторона пассажирская,2000,2022-09-16
Ремонт электропроводки фары левой стороны,2000,2022-09-16
Замена лампы головного освещения,100,2022-09-17
Электротехнические работы,2000,2022-09-17
Дефектовка генератора,500,2022-09-20
Разборка/сборкаи ремонт генератора,2500,2022-09-20
Диагностика электрооборудования,1000,2022-09-17
Замена катушки,100,2022-09-17
Замена свечи зажигания ДВС,400,2022-09-17
Диагностика электрооборудования,500,2022-09-19
Замена катушки зажигания 1 шт.,50,2022-09-19
Диагностика электрооборудования,1000,2022-09-18
Компьютерная диагностика электронных систем,1000,2022-12-28
Осмотр электрооборудования,200,2022-09-18
Ремонт электропроводки,500,2022-09-20
Трапеция дворников-снятие/установка/ремонт,2500,2022-09-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-09-20
Замер компрессии ДВС,1000,2022-09-20
Ремонт рулевой рейки,3000,2022-09-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1500,2022-09-20
Замена свечей зажигания 4 цилиндр. ДВС,400,2022-09-20
Дефектовка и ремонт генератора,2000,2022-09-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-09-20
Диагностика электрооборудования,500,2022-09-21
Замена лампочки переднего левого фонаря,100,2022-09-21
Поиск и ремонт электропроводки,2000,2022-09-21
Диагностика ЭСУД,1000,2022-09-21
Диагностика ЭСУД,1000,2022-09-21
Диагностика  электрооборудвания переднеей правой фары,500,2022-09-21
Ремонт электропроводки передней правой фары,1000,2022-09-21
Диагностика электрооборудования,1000,2022-09-21
Электротехнические работы,2000,2022-09-21
Электротехнические работы,2500,2022-09-21
Диффектовка генератора,500,2022-09-24
Проверка электрпоцепи клапана VVT,1500,2022-09-24
Ремонт генератора,3000,2022-09-24
Ремонт электропроводки клапана VVT банк 1,2000,2022-09-24
Диагностика электрооборудования,500,2022-09-26
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2022-09-23
Электротехнические работы,4000,2022-09-23
Дефектовка генератора,500,2022-09-24
Разборка/Сборка/Ремонт генератора с заменой комплектующих,3000,2022-09-24
Диагностика электрооборудования,500,2022-09-24
Диагностика электрооборудования,1000,2022-09-29
Восстановление электропроводки,4000,2022-09-25
Замена лампы головного освещения,200,2022-09-25
Диагностика электрооборудования,500,2022-09-25
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2022-09-25
Замена лампы,1000,2022-09-25
Диагностика электрооборудования,1000,2022-09-27
"Проверка уровня масла в ДВС, долив до уровня.",0,2022-09-27
Ремонт обходника сигнализации,2000,2022-09-27
Ремонт электропроводки,3000,2022-09-27
Электротехнические работы,500,2022-09-27
Диагностика электрооборудования,500,2022-09-27
Диагностика электрооборудования,1000,2022-09-28
Замена лампы,240,2022-09-27
Электротехнические работы,1000,2022-09-27
Диагностика электрооборудования,500,2022-09-28
Замер компрессии ДВС,800,2022-09-28
Диагностика электрооборудования,500,2022-09-28
Электротехнические работы,2500,2022-09-28
Диагностика электрооборудования,1000,2022-09-28
Электротехнические работы,1000,2022-09-28
Замена лампы головного освещения,500,2022-09-28
Электротехнические работы,2500,2022-09-28
Диагностика электрооборудования,500,2022-09-30
Диагностика электрооборудования,1000,2022-10-02
Ремонт кнопки,500,2022-10-02
Электротехнические работы,2000,2022-10-02
Замена блока управления ДВС,1000,2022-10-02
Компьютерная диагностика,1000,2022-10-02
Диагностика электрооборудования,1000,2022-10-23
Диагностика электрооборудования,1000,2022-10-02
Диагностика электрооборудования,2000,2022-10-05
Электротехнические работы,1400,2022-10-05
Компьютерная диагностика электронных систем после заправки фреоном,1000,2022-10-03
Проверка катушки и свечи зажигания 6го цилиндра,1500,2022-10-03
Проверка клапанов подвески перестановкой трубок,2000,2022-10-03
Проверка уплонений магистрали правого пневмобаллона,1000,2022-10-03
Диагностика электрооборудования,1000,2022-10-11
Диагностика электрооборудования,500,2022-10-13
Диагностика электрооборудования,1000,2022-10-04
Диагностика электрооборудования,500,2022-10-13
Диагностика электрооборудования,500,2022-10-07
"Заправка спецжидкостями(масло,антифриз,фреон и т.д)",2500,2022-10-06
Компьютерная диагностика,1000,2022-10-05
Компьютерная диагностика,1000,2022-10-05
Электротехнические работы,2500,2022-10-05
Демонтаж/монтаж лечинков замков дверей,2000,2022-10-18
Замок зажигания-Снятие/установка,1000,2022-10-18
Подключение дополнительного  отопителя салонного,2500,2022-10-18
Проверка и ремонт цепи электропреобразователя,1500,2022-10-18
Установка  и подключение разеток прикуривателя и зарядки USB,1500,2022-10-18
Электротехнические работы,2000,2022-10-18
Диагностика электрооборудования,500,2022-10-13
Электротехнические работы,2000,2022-10-07
Электротехнические работы,3000,2022-10-10
Электротехнические работы,500,2022-10-10
Замена датчика скорости,300,2022-10-10
Диагностика электрооборудования,500,2022-10-13
Проверка катушек зажигания разрядноком,1000,2022-10-13
Свечи зажигания- замена,400,2022-10-13
Промывка очистка форсунок,2500,2022-10-10
Компьютерная диагностика,1000,2022-10-10
Электротехнические работы,2000,2022-10-10
Замена блока управления стеклоподъемника водительской двери,1500,2022-10-12
Замена механизма стеклоподьемника задней левой двери,3000,2022-10-12
Компютерная диагностика электрооборудования,500,2022-10-12
Проверка заднего стеклоподъемника,2000,2022-10-12
Проверка и замена предохранителей,500,2022-10-12
Проверка электроцепи обогрева заднего стекла,1500,2022-10-12
Электротехнические работы,1000,2022-10-12
Электротехнические работы по передней левой фаре,500,2022-10-14
Электротехнические работы,500,2022-10-11
Диагностика электрооборудования,1000,2022-10-11
Замена лампы,250,2022-10-11
Диагностика электроцепей камеры заднего вида,3600,2022-10-11
Диагностика электрооборудования,8000,2022-10-12
Диагностика электрооборудования,1000,2022-10-14
Диагностика электрооборудования,500,2022-10-12
Замена катушки зажигания (1 шт.) второго целиндра по гарантии,0,2022-10-12
Диагностика электрооборудования,1000,2022-10-12
Ремонт проводки фары,1000,2022-10-13
Фара передняя левая демонтаж/монтаж,1000,2022-10-13
Замена лампы,500,2022-10-12
Диагностика электрооборудования,1000,2022-10-14
Диагностика электрооборудования,1000,2022-10-14
Замена подрулевого шлейфа,2000,2022-10-15
Диагностика электрооборудования,500,2022-10-15
Ремонт генератора,2250,2022-10-15
Диагностика электрооборудования,1000,2022-10-15
Диагностика электрооборудования,1000,2022-10-15
Электротехнические работы,2000,2022-10-15
Электротехнические работы,1000,2022-10-15
Диагностика электрооборудования,1000,2022-10-16
Замена провода массы ДВС,1000,2022-10-16
Диагностика электрооборудования,500,2022-10-26
Электротехнические работы,1500,2022-10-18
Электротехнические работы,600,2022-10-18
Диагностика электрооборудования,1000,2022-10-19
Бензонасос-снятие/установка,2500,2022-10-19
Диагностика электрооборудования,1000,2022-10-19
Диагностика электрооборудования,500,2022-10-25
Замена вентилятора печки салона,1000,2022-10-25
Замена лампы ДХО,100,2022-10-25
Замена лампы передней фары,150,2022-10-25
Лампа  стоп сигнала,100,2022-10-25
Диагностика электрооборудования,500,2022-10-26
Свечи зажигания- замена,400,2022-10-26
Ремонт электропроводки,15000,2022-10-26
Диагностика электрооборудования,1000,2022-10-22
Диагностика электрооборудования,1000,2022-10-22
"Осмотр системы подачи топлива(бензонасоса,магистрали итд.)",0,2022-10-23
Развод колодок задних,500,2022-10-23
Диагностика электрооборудования,1000,2022-10-23
Свечи зажигания- замена,500,2022-10-23
Чистка дроссельной заслонки,500,2022-10-23
Электротехнические работы,4000,2022-10-23
Развод колодок задних,500,2022-10-23
Диагностика электрооборудования,1000,2022-10-23
Замена клеммы,500,2022-10-23
Диагностика электрооборудования,500,2022-10-28
Замена лампы ХДЧ,200,2022-10-28
"Замена эл ламп ближний/дальний DS-2(1 шт),DS-3(1 шт)",300,2022-10-28
Диагностика ЭСУД,1000,2022-10-25
Замена свечи зажигания ДВС,500,2022-10-25
замена катушки зажигания 3 и 4 цилиндра,0,2022-10-25
Диагностика электрооборудования,500,2022-10-27
Ремонт генератора,1500,2022-11-03
Электротехнические работы,600,2022-10-26
Электротехнические работы,1500,2022-10-26
Электротехнические работы,4500,2022-10-27
Бензонасос-снятие/установка,1500,2022-10-28
Комплексная диагностика,400,2022-10-28
Диагностика системы охлаждения,500,2022-10-29
Ремонт проводки с регулировкой заслонок системы потока воздуха,1500,2022-10-29
 Замена лампочек задних со снятием фонаря заднего,300,2022-10-28
Осмотр сиситемы кондиционировани,500,2022-10-28
Диагностика электрооборудования,500,2022-10-28
Электротехнические работы,500,2022-10-28
Электротехнические работы,1500,2022-10-28
Диагностика электрооборудования,500,2022-10-28
Электротехнические работы,2000,2022-10-28
Замена лампы,600,2022-10-28
Лампа замена,0,2022-10-29
Диагностика электрооборудования,1000,2022-11-08
"Проверка электроцепей д,угла поворота руля, замена датчика",3000,2022-11-08
"Проверка электроцепей датчика АВС пер, левого, ремонт электропроводки",2000,2022-11-08
Компьютерная диагностика электронных систем,1000,2022-10-29
Диагностика электрооборудования,1000,2022-10-29
Электротехнические работы,1000,2022-10-29
Компьютерная диагностика электронных систем после заправки фреоном,1000,2022-10-30
Диагностика электрооборудования,1000,2022-10-30
Электротехнические работы,2500,2022-10-30
Электротехнические работы,1200,2022-10-30
Диагностика электрооборудования,1000,2022-10-30
Замена ДАД,300,2022-10-30
Прозвонка АВS,1000,2022-10-30
Ремонт электропроводки,1000,2022-10-30
Свечи зажигания- замена,400,2022-10-30
Диагностика электрооборудования,500,2022-11-02
Стартер-снятие/установка,1000,2022-11-02
Диагностика электрооборудования,1000,2022-11-02
Замена модуля,1000,2022-11-02
Диагностика кондиционера,1000,2022-11-02
Электроразводка задних колодок,500,2022-11-05
Катушка замена,300,2022-11-02
Электротехнические работы,4500,2022-11-02
Электротехнические работы ПТФ,1000,2022-11-02
Электротехнические работы,2300,2022-11-02
Диагностика электрооборудования,1000,2023-01-22
Компьютерная диагностика,1000,2022-11-04
Диагностика электрооборудования,1000,2022-11-04
Диагностика электрооборудования,1000,2022-11-04
Диагностика электрооборудования,1000,2022-11-04
Электротехнические работы,1000,2022-11-04
Диагностика электрооборудования,1000,2022-11-11
Диффектовка генератора,1000,2022-11-11
Ремонт генератора,1500,2022-11-11
Проверка электроцепей АВС,2000,2022-11-05
Диагностика электрооборудования,1000,2022-11-05
Ремонт электропроводки,1500,2022-11-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-11-09
Электротехнические работы,1000,2022-11-09
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",3000,2022-11-09
Комплексная диагностика,1000,2022-11-09
Дефектовка стартера,500,2022-11-08
Компьютерная диагностика,1000,2022-11-08
Ремонт стартера,1500,2022-11-08
Поиск короткого замыкания и ремонт электропроводки,4000,2022-11-08
Демонтаж/монтаж автономного подогревателя,3000,2022-12-13
Диагностика подогревателя автономного,2000,2022-12-13
Подключение шлангов охлаждающей жидкости,1600,2022-12-13
Ремонт блока управления вебасты,5000,2022-12-13
Ремонт обходника эмобиллайзера,2000,2022-12-13
Топливный насос (ВЭБАСТО) - демонтаж/монтаж,2000,2022-12-13
Замена катушки зажигания 1 шт.,400,2022-11-09
Компьютерная диагностика чтение кодов и ошибок,800,2022-11-09
Диагностика электрооборудования,1000,2022-11-10
Проверка и ремонт электроцепей стеклоподъемников,3000,2022-11-10
Диагностика по проверке генератора,500,2022-11-15
Разборка и диффектовка генератора,500,2022-11-15
Диагностика электрооборудования,1000,2022-11-11
"Проверка электропроводки, торчек массы, ремонт электропроводки",5000,2022-11-11
Диагностика электрооборудования,1000,2022-11-11
Ремонт датчика педали сцепления,6000,2022-11-11
Замена подрулевого переключателя,2000,2022-11-12
Проверка и ремонт электроцепей стеклоочистеля,3000,2022-11-12
Диагностика электрооборудования,1000,2022-11-12
Диагностика электрооборудования,500,2022-11-12
Проверка и ремонт электропроводки подогрева сидений,3000,2022-11-12
Диагностика электрооборудования,1000,2022-11-12
Диагностика электрооборудования,3000,2022-11-12
Диагностика электрооборудования,500,2022-11-12
Компьютерная диагностика,1000,2022-11-15
Диагностика электрооборудования,1000,2022-11-14
Электротехнические работы,2000,2022-11-14
Диагностика электрооборудования,1000,2022-11-14
Диагностика электрооборудования,1000,2022-11-15
Диагностика электрооборудования,500,2022-11-15
Отключение блокировки для диагностики,1500,2022-11-15
Диффектовка генератора,500,2022-11-18
Подключение ПТФ,3000,2022-11-15
Диагностика электрооборудования,500,2022-11-17
Диагностика электрооборудования,2000,2022-11-16
Электротехнические работы,1500,2022-11-16
Диагностика электрооборудования,1000,2022-11-19
Разборка/сборка/Дифектовка стартера,1000,2022-11-19
Диагностика электрооборудования,500,2022-11-23
Свечи зажигания- замена,400,2022-11-23
Диагностика электрооборудования,500,2022-11-19
Диагностика электрооборудования,500,2022-12-06
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2500,2022-12-06
Электротехнические работы,2000,2022-11-18
Диагностика электрооборудования,1000,2022-11-19
Диагностика электрооборудования,2000,2022-12-16
Диагностика электрооборудования,500,2022-11-19
Прозвонка  электропроводки заднего правого датчика АВS,500,2022-11-19
Диагностика электрооборудования,500,2022-11-20
Электротехнические работы,3000,2022-11-20
Дефектовка стартера,500,2022-11-20
Ремонт стартера,1000,2022-11-20
Диагностика и ремонт(датчика сцепления),2000,2022-11-25
Диагностика электрооборудования,500,2022-11-23
Прошивка евро 2,8000,2022-11-23
"Диагностика причины возгарания, проверка электропроводки, ремонт",15000,2023-01-29
Дифектовка/разборка стартера,500,2023-01-29
Замывка подкапотного пространства,1000,2023-01-29
"Проверка уровня ОЖ,долив антифриза до нормы",0,2023-01-29
Развоздушивание системы охлаждения,500,2023-01-29
Стартер-снятие/установка,1000,2023-01-29
Техническая мойка после пенного огнетушителя,1000,2023-01-29
Электротехнические работы,2000,2022-11-22
Диагностика электрооборудования,500,2022-11-23
Электротехнические работы,1500,2022-11-23
Диагностика электрооборудования,1000,2022-11-30
Поиск короткого замыкания цепей ЭСУД,2000,2022-11-30
Ремонт электропроводки,2000,2022-11-30
Диагностика электрооборудования,1000,2022-11-23
Замена датчика холостого хода,500,2022-11-23
Замена лампы ПТФ передней левой,250,2022-11-24
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",300,2022-11-24
Диагностика электрооборудования,1000,2022-11-30
Адаптация (инициализация ) сцепления,1500,2022-11-26
Актуатор сцепления - дефектовка и ремонт,6000,2022-11-26
Диагностика электрооборудования,1000,2022-11-26
Диагностика электрооборудования,1000,2022-11-27
Ремонт электропроводки,2500,2022-11-27
Демонтаж/монтаж дроссельной заслонки,500,2022-11-29
Диагностика электрооборудования,500,2022-11-29
Замена свечи зажигания ДВС,400,2022-11-29
Диагностика электрооборудования,500,2022-11-29
Диагностика электрооборудования,1000,2022-11-25
Электротехнические работы,2000,2022-11-26
Электротехнические работы,2000,2023-01-22
Диагностика электрооборудования,500,2022-11-26
Замена катушки зажигания 1 шт.,800,2022-11-26
Отключение спутниковой блокировки,1500,2022-11-26
Электротехнические работы,4000,2022-11-26
Диагностика электрооборудования,1000,2022-12-11
Электротехнические работы,2000,2022-12-11
Установка электробензоразъема,1500,2022-11-29
Диагностика электрооборудования,1000,2022-11-30
Диагностика электрооборудования,500,2022-11-30
Замена поворотного фонаря на правом зеркале заднего вида,1000,2023-01-22
Диагностика электрооборудования,2000,2022-11-30
Диагностика электрооборудования,1000,2022-11-30
Замена ламп,600,2022-12-02
Поиск короткого замыкания электроцепи бортовых огней,4000,2022-12-02
Проверка и замена предохранителей,500,2022-12-02
Проверка омывателя лобового стекла,500,2022-12-02
Установка сигнала,1000,2022-12-02
Диагностика электрооборудования,1000,2022-12-13
ПЕРЕКЛЮЧАТЕЛЬ ПОДРУЛЕВОЙ RENAULT DUSTER -ДЕМОНТАЖ/МОНТАЖ,1500,2022-12-13
Диагностика электрооборудования,500,2022-12-04
Замена В/В проводов,200,2022-12-04
Электротехнические работы,1600,2022-12-02
Диагностика электрооборудования,1000,2022-12-02
Диагностика электрооборудования,500,2022-12-03
Диагностика электрооборудования,1000,2022-12-03
Электротехнические работы,510,2022-12-03
Ремонт генератора,1500,2022-12-05
Диагностика электрооборудования,1000,2022-12-04
Замена В/В проводов,200,2022-12-04
Замена салонного фильтра,300,2022-12-04
Свечи зажигания- замена,500,2022-12-04
Диффектовка генератора,500,2022-12-06
Ремонт генератора,1500,2022-12-06
Диагностика электрооборудования,1000,2022-12-12
Ремонт электрооборудования,1500,2022-12-12
Диагностика электрооборудования,500,2022-12-16
Замена предохранителя и релле ЭСУД,500,2022-12-16
Проверка электроцепей ЭБУ,3000,2022-12-16
Диагностика электрооборудования,1000,2022-12-06
Диагностика электрооборудования,1000,2022-12-07
Диффектовка генератора,500,2022-12-07
Ремонт генератора,1500,2022-12-07
Диагностика электрооборудования,1000,2022-12-07
Замена топливного насоса,1000,2022-12-07
Диагностика электрооборудования,500,2022-12-10
Диффектовка генератора,500,2022-12-10
Ремонт генератора,1500,2022-12-10
Диагностика электрооборудования,1000,2022-12-09
Замена В/В проводов,200,2022-12-09
Диагностика электрооборудования,500,2022-12-10
Диагностика электрооборудования,1000,2022-12-10
Замена катушки зажигания 1 шт.,200,2022-12-10
Ремонт электропроводки,300,2022-12-10
Диагностика электрооборудования,1000,2022-12-11
Диагностика электрооборудования,1000,2022-12-11
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",2000,2022-12-12
Диагностика Вебасты,1500,2022-12-14
Диагностика электрооборудования ДВС,1000,2022-12-14
Проверка подогрева сидений,1000,2022-12-14
Проверка стеклоподъемника и кнопки  задней правой двери,500,2022-12-14
Прошивка евро 2,10000,2022-12-14
Диагностика электрооборудования,500,2022-12-16
Замена подрулевого переключателя,1000,2022-12-16
Компьютерная диагностика,500,2022-12-16
Диагностика электрооборудования,1000,2022-12-15
Электротехнические работы,1000,2022-12-15
Электротехнические работы по ЭБУ,6000,2022-12-16
Электротехнические работы,500,2022-12-16
Дифектовка стартера,500,2022-12-16
Компьютерная диагностика,1000,2022-12-16
Ремонт стартера,1500,2022-12-16
Установка обманки ремня безопасности,1000,2022-12-16
Диагностика электрооборудования/разборка/сборка/Дефектовка,500,2022-12-16
Диагностика электрооборудования,1000,2022-12-18
Дефектовка генератора,500,2022-12-17
Ремонт генератора,3000,2022-12-17
Диагностика электрооборудования,500,2022-12-17
Замена катушки зажигания 4-го цилиндра,0,2022-12-17
Замена свечи зажигания ДВС,500,2022-12-17
Диагностика электрооборудования,1000,2022-12-17
Диагностика электрооборудования,1000,2022-12-18
Замер компрессии ДВС,1000,2022-12-18
Настройка магнитолы,1000,2023-01-10
Ремонт проводки,1000,2023-01-05
Диагностика электрооборудования,1000,2023-01-04
Промывка системы смазки ДВС,2000,2023-01-04
Электротехнические работы,1500,2023-01-04
Электротехнические работы,4000,2023-01-05
Диагностика электрооборудования,1000,2023-01-09
Электротехнические работы,1500,2023-01-08
Диагностика электрооборудования,1000,2023-01-08
Диагностика зарядки АКБ,500,2023-01-08
Ремонт генератора,3000,2023-01-08
Ремонт и регулировка замка багажника,2500,2023-01-08
Диагностика электрооборудования,1000,2023-01-11
Диагностика электрооборудования,1000,2023-01-11
Электротехнические работы,2000,2023-01-10
Диагностика электрооборудования,1000,2023-01-11
Дефектовка стартера,500,2023-01-11
Ремонт стартера,2000,2023-01-11
"Проверка эл.цепей бензонасоса,ремонт",500,2023-01-11
Диагностика электрооборудования,500,2023-01-18
Электротехнические работы,500,2023-01-11
Диагностика электрооборудования,500,2023-01-11
Диагностика герметичности кондиционера,1500,2023-01-11
Замена уплотнительных колец кондесатора,400,2023-01-11
Промывка радиатора кондиционера,2000,2023-01-11
Установка пластика под жабо,1000,2023-01-11
Дефектовка стартера,500,2023-01-11
Электротехнические работы,1500,2023-01-13
Диагностика электрооборудования,500,2023-01-17
Замена лампы головного освещения,300,2023-01-17
Ремонт электропроводки передней правой фары и передней левой фары,2000,2023-01-17
Электротехнические работы,500,2023-01-13
Диагностика электрооборудования,500,2023-01-14
Отключение GPS маяка для диагностики,1500,2023-01-14
ДВС-разборка/зборка,15000,2023-01-31
Диагностика электрооборудования,1000,2023-01-15
Электротехнические работы,2000,2023-01-15
Диагностика электрооборудования,500,2023-01-18
Электротехнические работы,500,2023-01-17
Электротехнические работы,600,2023-01-17
Диагностика эектрооборудования,500,2023-01-18
Проверка электроцепей аудисистемы,2000,2023-01-18
Проверка электроцепей вентилятора охлаждения и замена предохранителя,2000,2023-01-18
Смазка замка задней левой двери с разборкой/сборкой,1500,2023-01-18
Электротехнические работы,500,2023-01-18
Датчик кислорода(лямдазонд)-снятие/установка,1000,2023-01-31
Диагностика эектрооборудования,1000,2023-01-31
Диагностика электрооборудования,1000,2023-01-24
Поиск короткого замыкания силовых цепей,10000,2023-01-24
Проверка и ремонт электроцепей заднего освещения,3000,2023-01-24
Проверка и ремонт электроцепей освещения салона,1000,2023-01-24
Проверка и ремонт электроцепей фар головного света,2000,2023-01-24
Проверка электроцепей отопителя салона,1000,2023-01-24
Электротехнические работы,80,2023-01-24
Замена топливного фильтра наружний магистральный,500,2023-01-21
Промывка очистка форсунок,2000,2023-01-21
Компьютерная диагностика,1000,2023-01-25
Отключение ДХО,900,2023-01-25
Проверка и ремонт электропроводки центрального замка,3000,2023-01-25
Установка ОБД адаптера,100,2023-01-25
Диагностика электрооборудования,1000,2023-01-24
Диагностика электрооборудования,1000,2023-01-24
Замена лампочки переедней левой фары,150,2023-01-24
Осмотр освещения,0,2023-01-24
Ремонт разъема передней левой фары,500,2023-01-24
Диагностика электрооборудования,1000,2023-01-27
Диагностика и ремонт электроцепей освещения,2000,2023-01-25
Замена лампы,300,2023-01-25
Электротехнические работы,2000,2023-01-28
Диагностика электрооборудования,1000,2023-02-15
Диагностика электрооборудования,500,2023-02-01
Замена катушки зажигания,100,2023-02-01
Пролверка электрооборудования и замена предохранителя на прикуриватель,500,2023-02-02
Диагностика эектрооборудования,1000,2023-02-01
Проверка силовых цепей автомобиля на предмет короткого замыкания (КЗ)потребляемого тока с проверкой АКБ,2000,2023-02-04
Диагностика эектрооборудования,1000,2023-01-31
Диагностика эектрооборудования,500,2023-02-17
